"Date","Price","Volume","Market_cap"
"2024-04-08 00:00:00 UTC+0","0.00000777","505225925.719647","3268719695.50318050"
"2024-04-07 00:00:00 UTC+0","0.00000745","467502470.912211","3133222675.31410600"
"2024-04-06 00:00:00 UTC+0","0.00000678","208363946.197652","2850552269.24780750"
"2024-04-05 00:00:00 UTC+0","0.00000660","353613945.617409","2774969215.42340400"
"2024-04-04 00:00:00 UTC+0","0.00000692","401078760.952333","2912018430.69696900"
"2024-04-03 00:00:00 UTC+0","0.00000684","556259549.441048","2877162309.41334600"
"2024-04-02 00:00:00 UTC+0","0.00000726","760926981.240308","3053136054.00176760"
"2024-04-01 00:00:00 UTC+0","0.00000796","800194475.031081","3346977888.00240140"
"2024-03-31 00:00:00 UTC+0","0.00000879","817984654.275595","3697988552.69082500"
"2024-03-30 00:00:00 UTC+0","0.00000810","864259642.284135","3408100211.59297040"
"2024-03-29 00:00:00 UTC+0","0.00000779","397533088.454717","3276541572.35075000"
"2024-03-28 00:00:00 UTC+0","0.00000798","658529902.212474","3356298963.02455140"
"2024-03-27 00:00:00 UTC+0","0.00000760","551245830.271446","3198863212.23032570"
"2024-03-26 00:00:00 UTC+0","0.00000806","764176213.849132","3390593568.76272300"
"2024-03-25 00:00:00 UTC+0","0.00000809","879218400.317038","3403565217.81320670"
"2024-03-24 00:00:00 UTC+0","0.00000781","446263419.951218","3284139140.10557650"
"2024-03-23 00:00:00 UTC+0","0.00000736","514192656.794640","3095335096.41777320"
"2024-03-22 00:00:00 UTC+0","0.00000741","750417232.879905","3117032358.49033070"
"2024-03-21 00:00:00 UTC+0","0.00000792","894952611.020605","3329992887.44806050"
"2024-03-20 00:00:00 UTC+0","0.00000848","1774656645.720721","3567371153.31416030"
"2024-03-19 00:00:00 UTC+0","0.00000660","1289132551.309832","2777948514.51972630"
"2024-03-18 00:00:00 UTC+0","0.00000682","784277121.713357","2868032670.40806900"
"2024-03-17 00:00:00 UTC+0","0.00000781","1139529690.573091","3285794416.02653840"
"2024-03-16 00:00:00 UTC+0","0.00000740","1274627920.936845","3111127567.80318400"
"2024-03-15 00:00:00 UTC+0","0.00000898","1600862933.660454","3778016649.02514400"
"2024-03-14 00:00:00 UTC+0","0.00001002","2728740598.431406","4213842156.05409430"
"2024-03-13 00:00:00 UTC+0","0.00000902","1584502598.801487","3795169248.54035040"
"2024-03-12 00:00:00 UTC+0","0.00000826","923548978.432118","3474123963.38887930"
"2024-03-11 00:00:00 UTC+0","0.00000906","1160506899.773113","3812487429.43892800"
"2024-03-10 00:00:00 UTC+0","0.00000854","1011678026.982589","3592166529.42504300"
"2024-03-09 00:00:00 UTC+0","0.00000880","1464546805.321803","3703352486.59493000"
"2024-03-08 00:00:00 UTC+0","0.00000909","2926579922.086459","3826009633.38769960"
"2024-03-07 00:00:00 UTC+0","0.00000682","1125137235.898870","2870548457.90933300"
"2024-03-06 00:00:00 UTC+0","0.00000723","2163719620.774860","3040904604.84313600"
"2024-03-05 00:00:00 UTC+0","0.00000644","2633357070.802229","2709421404.38870670"
"2024-03-04 00:00:00 UTC+0","0.00000706","3222932664.041236","2970157759.80776600"
"2024-03-03 00:00:00 UTC+0","0.00000587","2175303090.367240","2468424133.86950160"
"2024-03-02 00:00:00 UTC+0","0.00000438","1442576159.424591","1842542337.02990410"
"2024-03-01 00:00:00 UTC+0","0.00000401","1572680104.379191","1687828272.97252560"
"2024-02-29 00:00:00 UTC+0","0.00000273","665478767.982812","1148031428.09241680"
"2024-02-28 00:00:00 UTC+0","0.00000313","1755964033.215307","1318314250.79493800"
"2024-02-27 00:00:00 UTC+0","0.00000262","1316661206.326614","1100359168.34557770"
"2024-02-26 00:00:00 UTC+0","0.00000178","403885238.948700","749219678.15260080"
"2024-02-25 00:00:00 UTC+0","0.00000137","86106365.939993","578118953.32433020"
