"Date","Price","Volume","Market_cap"
"2024-04-06 00:00:00 UTC+0","0.00296086","937513.352534","23835322.79996486"
"2024-04-05 00:00:00 UTC+0","0.00212176","31706.900230","17080431.55441482"
"2024-04-04 00:00:00 UTC+0","0.00217100","125708.442160","17476801.95312753"
"2024-04-03 00:00:00 UTC+0","0.00202206","256577.244298","16277801.36929230"
"2024-04-02 00:00:00 UTC+0","0.00188388","281381.095967","15165462.62184554"
"2024-04-01 00:00:00 UTC+0","0.00217429","97408.091731","17503283.92573737"
"2024-03-31 00:00:00 UTC+0","0.00235116","71915.888868","18927103.09536306"
"2024-03-30 00:00:00 UTC+0","0.00240438","89685.542421","19355569.33822333"
"2024-03-29 00:00:00 UTC+0","0.00248346","77855.423474","19992156.30147182"
"2024-03-28 00:00:00 UTC+0","0.00266549","234988.696556","21457542.31586388"
"2024-03-27 00:00:00 UTC+0","0.00271673","122358.880837","21870002.30412882"
"2024-03-26 00:00:00 UTC+0","0.00280917","320486.301635","22614166.98653524"
"2024-03-25 00:00:00 UTC+0","0.00366493","174792.959706","29503170.93395807"
"2024-03-24 00:00:00 UTC+0","0.00340881","383309.745375","27441354.13739764"
"2024-03-23 00:00:00 UTC+0","0.00293052","115270.620750","23591080.80116474"
"2024-03-22 00:00:00 UTC+0","0.00286329","210675.791819","23049832.97739336"
"2024-03-21 00:00:00 UTC+0","0.00307248","222484.932092","24733878.21687016"
"2024-03-20 00:00:00 UTC+0","0.00195300","189182.887501","15721909.10397829"
"2024-03-19 00:00:00 UTC+0","0.00321450","129384.038534","25877145.92311356"
"2024-03-18 00:00:00 UTC+0","0.00321450","129384.038534","25877145.92311356"
"2024-03-17 00:00:00 UTC+0","0.00327990","113956.399130","26403647.34926397"
"2024-03-16 00:00:00 UTC+0","0.00195378","1.784712","15728143.19780375"
"2024-03-15 00:00:00 UTC+0","0.00198996","57.662705","16019418.00045423"
"2024-03-14 00:00:00 UTC+0","0.00198996","57.662705","16019418.00045423"
"2024-03-13 00:00:00 UTC+0","0.00198996","57.662705","16019418.00045423"
"2024-03-12 00:00:00 UTC+0","0.00298618","33.069720","24039164.58268723"
"2024-03-11 00:00:00 UTC+0","0.00306656","29.786476","24686203.90168425"
"2024-03-10 00:00:00 UTC+0","0.00297241","29.201086","23928248.20066734"
"2024-03-09 00:00:00 UTC+0","0.00295145","19.550099","23759541.32351645"
"2024-03-08 00:00:00 UTC+0","0.00299197","12732.080312","24085702.83905682"
"2024-03-07 00:00:00 UTC+0","0.00296163","27493.909307","23841534.44663603"
"2024-03-06 00:00:00 UTC+0","0.00287678","54609.416898","23158463.61307447"
"2024-03-05 00:00:00 UTC+0","0.00209196","18574.870649","16840563.79364310"
"2024-03-04 00:00:00 UTC+0","0.00125028","2097.953379","10064908.83657297"
"2024-03-03 00:00:00 UTC+0","0.00125028","2097.953379","10064908.83657297"
"2024-03-02 00:00:00 UTC+0","0.00132759","14089.464786","10687241.48087839"
"2024-03-01 00:00:00 UTC+0","0.00125612","8440.933970","10111948.25562936"
"2024-02-29 00:00:00 UTC+0","0.00104614","5105.166865","8421521.90039410"
"2024-02-28 00:00:00 UTC+0","0.00104614","5105.166865","8421521.90039410"
